trip_id,fare_amount,pickup_datetime,passenger_count,pickup_latitude,pickup_longitude,drop_latitude,drop_longitude
1,218.54,2024-01-01 00:00:00,2,18.435069,73.938961,18.560593,73.728157
2,477.82,2024-01-01 01:00:00,3,18.68195,73.844457,18.464561,73.972888
3,379.4,2024-01-01 02:00:00,1,18.588312,73.735192,18.403636,73.90076
4,319.4,2024-01-01 03:00:00,1,18.500472,73.737556,18.47236,73.948786
5,120.21,2024-01-01 04:00:00,1,18.441782,73.90567,18.692762,73.963694
6,120.2,2024-01-01 05:00:00,1,18.638208,73.829092,18.640461,73.871532
7,76.14,2024-01-01 06:00:00,4,18.586022,73.760157,18.687873,73.855234
8,439.78,2024-01-01 07:00:00,1,18.560038,73.847478,18.546356,73.829128
9,320.5,2024-01-01 08:00:00,4,18.668168,73.719263,18.432921,73.795084
10,368.63,2024-01-01 09:00:00,4,18.636579,73.874591,18.564388,73.830379
11,59.26,2024-01-01 10:00:00,1,18.445502,73.780698,18.536313,73.932164
12,486.46,2024-01-01 11:00:00,1,18.493517,73.939268,18.653307,73.880577
13,424.6,2024-01-01 12:00:00,2,18.474547,73.793109,18.429425,73.967757
14,145.55,2024-01-01 13:00:00,3,18.623184,73.836566,18.546472,73.833014
15,131.82,2024-01-01 14:00:00,1,18.41006,73.703486,18.445015,73.882127
16,132.53,2024-01-01 15:00:00,2,18.570967,73.721734,18.497403,73.889392
17,186.91,2024-01-01 16:00:00,2,18.628738,73.817748,18.621207,73.877509
18,286.14,2024-01-01 17:00:00,3,18.66303,73.843982,18.542805,73.91079
19,244.38,2024-01-01 18:00:00,4,18.502625,73.880006,18.512766,73.77123
20,181.05,2024-01-01 19:00:00,1,18.646377,73.787499,18.518343,73.853709
21,325.33,2024-01-01 20:00:00,3,18.43319,73.908495,18.537834,73.731267
22,112.77,2024-01-01 21:00:00,1,18.653936,73.958037,18.635505,73.815353
23,181.47,2024-01-01 22:00:00,2,18.438247,73.933955,18.667625,73.8463
24,214.86,2024-01-01 23:00:00,2,18.519186,73.711886,18.6866,73.895667
25,255.23,2024-01-02 00:00:00,4,18.639189,73.844152,18.636071,73.985159
26,403.33,2024-01-02 01:00:00,2,18.444975,73.731479,18.494622,73.880195
27,139.85,2024-01-02 02:00:00,2,18.468775,73.772614,18.60644,73.923078
28,281.41,2024-01-02 03:00:00,3,18.616676,73.995999,18.531281,73.85188
29,316.59,2024-01-02 04:00:00,1,18.616011,73.742749,18.476401,73.890231
30,70.9,2024-01-02 05:00:00,1,18.592344,73.849666,18.652261,73.72128
31,323.4,2024-01-02 06:00:00,3,18.608185,73.885447,18.411528,73.776317
32,126.74,2024-01-02 07:00:00,4,18.562817,73.910739,18.670529,73.808556
33,79.27,2024-01-02 08:00:00,1,18.47554,73.867895,18.538443,73.841748
34,477.0,2024-01-02 09:00:00,2,18.503709,73.702931,18.59116,73.713695
35,484.53,2024-01-02 10:00:00,1,18.454479,73.797938,18.597806,73.742007
36,413.78,2024-01-02 11:00:00,2,18.672535,73.855313,18.668535,73.783044
37,187.08,2024-01-02 12:00:00,4,18.575018,73.72636,18.591001,73.99146
38,93.95,2024-01-02 13:00:00,3,18.520255,73.805188,18.58418,73.799404
39,357.9,2024-01-02 14:00:00,1,18.538602,73.709961,18.419996,73.844612
40,248.07,2024-01-02 15:00:00,3,18.684185,73.723574,18.555522,73.758829
41,104.92,2024-01-02 16:00:00,1,18.446005,73.819077,18.445051,73.883234
42,272.83,2024-01-02 17:00:00,2,18.575869,73.739815,18.62123,73.784205
43,65.47,2024-01-02 18:00:00,3,18.551767,73.870262,18.553667,73.762098
44,459.19,2024-01-02 19:00:00,1,18.583436,73.906839,18.604068,73.854972
45,166.45,2024-01-02 20:00:00,2,18.405433,73.940176,18.412502,73.701652
46,348.14,2024-01-02 21:00:00,3,18.661637,73.760045,18.425438,73.702299
47,190.27,2024-01-02 22:00:00,3,18.679635,73.750245,18.614897,73.765721
48,284.03,2024-01-02 23:00:00,1,18.56954,73.73137,18.421625,73.711016
49,296.02,2024-01-03 00:00:00,1,18.608995,73.890929,18.421377,73.732408
50,133.18,2024-01-03 01:00:00,1,18.67675,73.911943,18.403633,73.801658
51,486.31,2024-01-03 02:00:00,2,18.612172,73.709476,18.68695,73.940776
52,398.81,2024-01-03 03:00:00,1,18.445762,73.980864,18.621253,73.871615
53,472.77,2024-01-03 04:00:00,3,18.572887,73.715591,18.505975,73.8538
